operator,id,location,state,operator_home_state,home_count,total,miles_from_operator_centre,lat,lon
"AgMark LLC.","agmarkllc-gaylord","Gaylord","MN","KS","13","14","","44.5463","-94.1955"
"CoMark Equity Alliance LLC","ceagrain-banner","BANNER","OK","KS","38","46","","",""
"CoMark Equity Alliance LLC","ceagrain-braman","BRAMAN","OK","KS","38","46","","",""
"CoMark Equity Alliance LLC","ceagrain-chickasha","CHICKASHA","OK","KS","38","46","","",""
"CoMark Equity Alliance LLC","ceagrain-fortcobb","FORT COBB","OK","KS","38","46","","",""
"CoMark Equity Alliance LLC","ceagrain-newkirk","NEWKIRK","OK","KS","38","46","","",""
"CoMark Equity Alliance LLC","ceagrain-tuttle","TUTTLE","OK","KS","38","46","","",""
"CoMark Equity Alliance LLC","ceagrain-unioncity","UNION CITY","OK","KS","38","46","","",""
"Innovative Ag Services","innovativeag-bungepdc","BungePDC","WI","IA","38","40","","",""
"Innovative Ag Services","innovativeag-cubacity","Cuba City","WI","IA","38","40","","",""
"Minn-Kota Ag Products, Inc.","mkap-kent","Kent","MN","ND","4","6","","",""
"New Vision Co-op","newvision-poetashton","POET Ashton","IA","MN","13","15","","",""
"Primient Grain","primientgrain-fowler","Fowler","IN","IL","12","15","","",""
"Primient Grain","primientgrain-francesville","Francesville","IN","IL","12","15","","",""
"CoMark Equity Alliance LLC","ceagrain-apache","APACHE","OK","KS","38","46","179","34.9034","-98.3695"
"Farmers Cooperative Dorchester","farmerscooperative-bungeemporia","{BUNGE - EMPORIA}","KS","NE","36","45","150","38.4184","-96.1871"
"CHS River Plains","chsriverplains-ashley","Ashley","ND","SD","10","12","117","46.03454","-99.37521"
"CHS River Plains","chsriverplains-strasburg","Strasburg","ND","SD","10","12","114","46.13374","-100.1535"
"Primient Grain","primientgrain-lafayette","Lafayette","IN","IL","12","15","113","40.4001","-86.8602"
"New Vision Co-op","newvision-agpsheldon","AGP Sheldon","IA","MN","13","15","104","43.1808","-95.8401"
"CHS Illinois","chsillinois-davenport","Davenport","IA","IL","9","10","84","41.56538","-90.5916"
"CHS High Plains","chshighplains-brule","Brule","NE","CO","18","19","70","41.09223","-101.88799"
"CHS Herman","chsherman-wilmot","Wilmot","SD","MN","9","10","61","45.4125","-96.856"
"Farmers Pride Coop","farmerspridecoop-avon","Avon","SD","NE","5","6","61","43.00389","-98.05794"
"Farmers Cooperative Dorchester","farmerscooperative-bluerapids","BLUE RAPIDS","KS","NE","36","45","60","39.675","-96.6359"
"Farmers Cooperative Dorchester","farmerscooperative-frankfort","FRANKFORT","KS","NE","36","45","58","39.7333","-96.5223"
"Farmers Cooperative Dorchester","farmerscooperative-frankfortshuttlelocation","FRANKFORT-SHUTTLE LOCATION","KS","NE","36","45","58","39.7333","-96.5223"
"Farmers Cooperative Dorchester","farmerscooperative-waterville","WATERVILLE","KS","NE","36","45","57","39.6971","-96.7498"
"Farmers Cooperative Dorchester","farmerscooperative-beattie","BEATTIE","KS","NE","36","45","50","39.8988","-96.4286"
"Farmers Cooperative Dorchester","farmerscooperative-herkimer","HERKIMER","KS","NE","36","45","48","39.8428","-96.6422"
"Aurora Cooperative","auroracooperative-republic","Republic","KS","NE","15","16","46","39.9376","-97.8435"
"CHS Dakota Plains Ag","chsdakotaplainsag-clairecity","Claire City","SD","ND","6","7","43","45.8755","-97.1073"
"Farmers Cooperative Dorchester","farmerscooperative-hanover","HANOVER","KS","NE","36","45","42","39.8927","-96.8689"
"Farmers Cooperative Dorchester","farmerscooperative-marietta","MARIETTA","KS","NE","36","45","41","39.9598","-96.6235"
"Wheatfield Grain","wheatfieldgrain-crescentcity","Crescent City","IL","IN","5","6","41","40.7417","-87.849"
"CHS United Plains Ag","chsunitedplainsag-cheyennewells","Cheyenne Wells","CO","KS","6","7","33","38.82376","-102.35857"
"CHS Drayton","chsdrayton-kennedy","Kennedy","MN","ND","4","5","20","48.6337","-96.9614"
"Minn-Kota Ag Products, Inc.","mkap-breckenridge","Breckenridge","MN","ND","4","6","18","46.2797","-96.5622"
"FS Grain","fsgrain-admclintoncorn","ADM - Clinton Corn","IA","IL","7","8","17","41.8517","-90.2078"
"Balk Grain and Trucking, Inc.","balkgrain-adm","ADM","IA","IL","3","4","16","41.8517","-90.2078"
