name,city,state,county,phone,address,licences,capacity,licensedBy,outOfState,source
All Star Trading Inc.,Schaumburg,,,847-375-8675,,dealer,,IA,yes,registry-ia
"Auvergne Grain Company, L.L.C.",Newport,AR,,,,warehouse,,,,registry-ar
"Bearskin Grain, LLC",Scott,AR,,,,warehouse,,,,registry-ar
"Black River Commodities, LLC.",Pocahontas,AR,,,,warehouse,,,,registry-ar
"Cache River Valley Seed, LLC",Cash,AR,,,,warehouse,,,,registry-ar
Carter Cox Seeds,Knobel,AR,,,,warehouse,,,,registry-ar
Cullum Seeds a division of FSA,Fisher,AR,,,,warehouse,,,,registry-ar
Delta Farms Inc,Lake City,AR,,,,warehouse,,,,registry-ar
"Delta Grow Seed Company, Inc",Scott,AR,,,,warehouse,,,,registry-ar
Eagle Seed,Weiner,AR,,,,warehouse,,,,registry-ar
Emery Hughes Corporation,England,AR,,,,warehouse,,,,registry-ar
"Erwin - Keith, Inc.",Wynne,AR,Cross,(870) 238-2079,1529 Highway 193,dealer+warehouse,,,,registry-mo
"Farmers Elevator & Warehouse Co., Inc.",Newport,AR,,,,warehouse,,,,registry-ar
"Farmers Supply Co. of Marvell, Inc.",Marvell,AR,,,,warehouse,,,,registry-ar
"Fritz & Mertice Lehman Elevator & Dryer, Inc.",Gillett,AR,,,,warehouse,,,,registry-ar
Greenfield Brown Rice Co. LLC.,Harrisburg,AR,,,,warehouse,,,,registry-ar
"Hill Seed & Elevator, Inc.",Dumas,AR,,,,warehouse,,,,registry-ar
"K & K Farm Service, Inc.",Carlisle,AR,,,,warehouse,,,,registry-ar
"K & T Agri, LLC",Jonesboro,AR,Craighead,(870) 919-3764,201 W. Washington,dealer+warehouse,,,,registry-mo
Lawrence County Seed Co. Inc.,Walnut Ridge,AR,,,,warehouse,,,,registry-ar
"LRM Grain, LLC",Marianna,AR,,,,warehouse,,,,registry-ar
M. D. Thompson & Son Company,Mccrory,AR,,,,warehouse,,,,registry-ar
"MFA Enterprises, Inc. d/b/a MFA Agri Services Midsouth",Piggott,AR,,,,warehouse,,,,registry-ar
Minturn Grain,Hoxie,AR,,,,warehouse,,,,registry-ar
Northeast Arkansas Seeds,Hoxie,AR,,,,warehouse,,,,registry-ar
"OMP Farms, LLC",BAY,AR,,,,warehouse,,,,registry-ar
"OMP Farms, LLC",Bay,AR,Craighead,(870) 770-1902,4337 Hwy 158PO Box 549,dealer+warehouse,,,,registry-mo
Osborne Seed Co.,Parkin,AR,,,,warehouse,,,,registry-ar
"Petrus Seed & Grain Co., Inc.",Hazen,AR,,,,warehouse,,,,registry-ar
"Poinsett Rice & Grain, Inc.",Jonesboro,AR,Craighead,(870) 336-2268,6211 Southwest Drive,dealer+warehouse,,,,registry-mo
"Rice Capital, Inc.",Stuttgart,AR,,,,warehouse,,,,registry-ar
Ridgefield Rice LLC,Wynne,AR,,,,warehouse,,,,registry-ar
"Simplot AB Retail Sub., Inc. dba Simplot Grower Solutions",Walnut Ridge,AR,,,,warehouse,,,,registry-ar
Superior Mills,Marianna,AR,,,,warehouse,,,,registry-ar
"Taggart & Taggart Seed, Inc.",Augusta,AR,,,,warehouse,,,,registry-ar
TRC Delta LLC,Helena,AR,Phillips,(501) 813-9932,1305 Highway 20,dealer+warehouse,,,,registry-mo
Tyson Foods Local Grain Services,Springdale,AR,Washington,(479) 290-2258,2200 W. Don Tyson Parkway,dealer+warehouse,,,,registry-mo
"Vincent Soybean & Grain Co., Inc.",Crawfordsville,AR,,,,warehouse,,,,registry-ar
C.B. CONSTANTINI LTD,VANCOUVER,BC,,,,dealer,"101,000",,,registry-ne
"Bunge North America, Inc.",Chesterfield,,,314-292-2470,,dealer,,IA,yes,registry-ia
"Bunge USA Grain, LLC",Fremont,,,402-727-2332,,dealer,,IA,yes,registry-ia
"Bunge USA Grain, LLC",Nebraska City,,,402-874-7000,,dealer,,IA,yes,registry-ia
"Bunge USA Grain, LLC",Omaha,,,402-889-4469,,dealer,,IA,yes,registry-ia
"Bunge USA Grain, LLC",Prairie du Chien WI,,,608-326-6111,,dealer,,IA,yes,registry-ia
"Bunge USA Grain, LLC",Rock Port,,,660-786-7001,,dealer,,IA,yes,registry-ia
C.B. Constantini Ltd.,Vancouver,,,604-669-1212,,dealer,,IA,yes,registry-ia
"OILSEEDS INTERNATIONAL, LTD BSAN",RANCISCO,CA,,,,dealer+warehouse,,,,registry-sd
"CHS, Inc.",Inver Grove Heights,,,651-355-4962,,dealer,,IA,yes,registry-ia
"C.B. CONSTANTINI LTD BVANCOUVER,",C,CN,,,,dealer+warehouse,,,,registry-sd
"AGFINITY, INC.",EATON,CO,,,,dealer,"93,000",,,registry-ne
ARDENT MILLS LLC,DENVER,CO,,,,dealer+warehouse,,,,registry-sd
"COLORADO AGRI PRODUCTS, LLC",STERLING,CO,,,,dealer,"1,000,000",,,registry-ne
"COLORADO MILLS, LLC",LAMAR,CO,,,,dealer+warehouse,,,,registry-sd
"COLORADO MILLS, LLC",LAMAR,CO,,,,dealer,"138,000",,,registry-ne
Consolidated Grain and Barge Co.,Gladstone,,,812-557-6441,,dealer,,IA,yes,registry-ia
Cooperative Regions of Organic Producer Pools,LaFarge,,,608-625-7311,,dealer,,IA,yes,registry-ia
"PENNINGTON SEED INC PPK1, PPK2, PPK3, D&D COMMODITIES",GREELEY,CO,,,,dealer+warehouse,,,,registry-sd
LOUIS DREYFUS COMPANY LLC,WILTON,CT,,,,dealer+warehouse,,,,registry-sd
LOUIS DREYFUS COMPANY LLC,WILTON,CT,,,,dealer,"1,000,000",,,registry-ne
Dakota Growers Coop,Plankinton,,,605-942-7731,,dealer,,IA,yes,registry-ia
"Eastland Feed and Grain, Inc.",Shannon,,,815-864-2723,,dealer,,IA,yes,registry-ia
COMMODITY MARKETING COMPANY,ALPHARETTA,GA,,,,dealer+warehouse,,,,registry-sd
D & F Grain Company,FITZGERALD,GA,Irwin County,2294689694,722 FITZGERALD HWY,,,,,barchart
"PENNINGTON SEED INC PPK1, PPK2, PPK3, D&D COMMODITIES",MADISON,GA,,,,dealer+warehouse,,,,registry-sd
"Grain Millers, Inc.",Eden Prairie,,,952-983-1310,,dealer,,IA,yes,registry-ia
Grain St-Laurent Inc.,Montreal,,,514-871-2033,,dealer,,IA,yes,registry-ia
Hansen-Mueller Co.,Omaha,,,402-491-3385,,dealer,,IA,yes,registry-ia
